CustomerID,FirstName,LastName,Email,Phone
1,Tom,Lee,user1@example.com,555-234-5678
2,Jane,White,user2@example.com,234-765-4321
3,Bob,Brown,user3@example.com,234-765-4321
4,Tom,Lewis,user4@example.com,234-765-4321
5,Sara,Johnson,user5@example.com,123-456-7890
1,Tom,Lee,user1@example.com,555-234-5678
7,Alice,Lee,user7@example.com,234-765-4321
8,Lara,Johnson,user8@example.com,555-234-5678
9,John,Lewis,user9@example.com,234-765-4321
10,Bob,Johnson,user10@example.com,123-456-7890
11,Lara,Johnson,,
12,Bob,Lewis,user12@example.com,123-456-7890
13,Jane,Clark,user13@example.com,555-234-5678
14,Sara,Brown,user14@example.com,
15,Sara,Johnson,user15@example.com,234-765-4321
16,Bob,White,user16@example.com,555-234-5678
17,Tom,White,user17@example.com,234-765-4321
18,John,Brown,user18@example.com,555-234-5678
19,Jane,Smith,user19@example.com,
20,Mike,Lewis,user20@example.com,555-234-5678
21,Bob,Brown,user21@example.com,555-234-5678
22,Jane,Lewis,user22@example.com,
23,Jane,Smith,user23@example.com,123-456-7890
24,Lara,Lee,user24@example.com,555-234-5678
25,Lara,Lewis,user25@example.com,123-456-7890
26,Mike,Johnson,user26@example.com,234-765-4321
27,Tom,Smith,user27@example.com,
28,Lara,Smith,user28@example.com,234-765-4321
29,Tom,Smith,user29@example.com,123-456-7890
30,Mike,White,user30@example.com,123-456-7890
